Tiedosto,Numero,Tunnus,Paikkakunta,Latitude,Longitude,Murrealue,Murreryhmä,Sukupuoli,Syntymäaika,Haastatteluaika
xSKN11a.txxtx,11,a,Kauhava,63.131201516,22.995232914,Etelä-Pohjanmaa,Etelä-Pohjanmaa,nainen,1886,1974
xSKN11b.txxtx,11,b,Kauhava,63.141727679,23.3932627,Etelä-Pohjanmaa,Etelä-Pohjanmaa,mies,1896,1976
xSKN12a.txxtx,12,a,Salla,66.511358251,29.032897229,Peräpohjola,Kemijärven murteet,mies,1881,1963
xSKN12b.txxtx,12,b,Salla,66.651249992,28.944901965,Peräpohjola,Kemijärven murteet,mies,1882,1963
xSKN13a.txxtx,13,a,Pihtipudas,63.353208136,25.906200021,Savolaismurteet,Keski-Suomi,mies,1887,1964
xSKN13b.txxtx,13,b,Pihtipudas,63.341869944,25.621257356,Savolaismurteet,Keski-Suomi,nainen,1895,1979
xSKN14a.txxtx,14,a,Kiihtelysvaara,62.600276319,30.242435952,Savolaismurteet,Pohjois-Karjala,mies,1892,1963
xSKN14b.txxtx,14,b,Kiihtelysvaara,62.583071372,30.144972045,Savolaismurteet,Pohjois-Karjala,nainen,1887,1963
xSKN15a.txxtx,15,a,Rautu,60.5952085303522,30.261489296271513,Kaakkoismurteet,Varsinaiset kaakkoismurteet,nainen,1889,1959
xSKN15b.txxtx,15,b,Rautu,60.55424250730876,30.230343127963877,Kaakkoismurteet,Varsinaiset kaakkoismurteet,mies,1877,1959
xSKN16a.txxtx,16,a,Noormarkku,61.59152962698697,21.879083803200892,Lounaiset välimurteet,Porin seudun murteet,nainen,1884,1963
xSKN16b.txxtx,16,b,Noormarkku,61.617777011,22.233425793,Lounaiset välimurteet,Porin seudun murteet,mies,1877,1963
xSKN17a.txxtx,17,a,Liperi,62.489386206,29.517348644,Savolaismurteet,Pohjois-Karjala,mies,1882,1967
xSKN17b.txxtx,17,b,Liperi,62.55900434,29.166614888,Savolaismurteet,Pohjois-Karjala,nainen,1892,1967
xSKN18a.txxtx,18,a,Rautalampi,62.748028593,26.740264285,Savolaismurteet,Pohjois-Savo,mies,1883,1965
xSKN18b.txxtx,18,b,Rautalampi,62.671366049,26.625743715,Savolaismurteet,Pohjois-Savo,nainen,1897,1968
xSKN19a.txxtx,19,a,Kalajoki,64.25467150798157,23.964388305285954,Keski- ja Pohjoispohjanmaa,Keski-Pohjanmaa,mies,1893,1962
xSKN19b.txxtx,19,b,Kalajoki,64.23326251,23.983443072,Keski- ja Pohjoispohjanmaa,Keski-Pohjanmaa,mies,1873,1962
xSKN20a.txxtx,20,a,Ikaalinen,61.828354149,23.039163991,Hämäläismurteet,Ylä-Satakunta,mies,1883,1960
xSKN20b.txxtx,20,b,Ikaalinen,61.862303223,23.410860748,Hämäläismurteet,Ylä-Satakunta,nainen,1890,1972
xSKN21a.txxtx,21,a,Loppi,60.640901493,24.24222504,Hämäläismurteet,Etelä-Häme,mies,1876,1960
xSKN21b.txxtx,21,b,Loppi,60.73029345,24.374832626,Hämäläismurteet,Etelä-Häme,nainen,1872,1961
xSKN22a.txxtx,22,a,Alatornio,65.970569388,24.178944033,Peräpohjola,Tornio,nainen,1873,1965
xSKN22b.txxtx,22,b,Alatornio,65.799800242,24.438364881,Peräpohjola,Tornio,mies,1884,1977
xSKN23a.txxtx,23,a,Hollola,61.092637782,25.605344181,Hämäläismurteet,Kaakkois-Häme,mies,1870,1961
xSKN23b.txxtx,23,b,Hollola,61.071436683,25.465852824,Hämäläismurteet,Kaakkois-Häme,mies,1878,1961
xSKN24a.txxtx,24,a,Kurkijoki,61.329448245970056,30.084527545488584,Kaakkoismurteet,Varsinaiset kaakkoismurteet,mies,1881,1957
xSKN24b.txxtx,24,b,Kurkijoki,61.329448245970056,30.084527545488584,Kaakkoismurteet,Varsinaiset kaakkoismurteet,nainen,1898,1972
xSKN25a.txxtx,25,a,Alastaro,60.944768607,22.769018784,Lounaiset välimurteet,Ala-Satakunta,nainen,1885,1967
xSKN25b.txxtx,25,b,Alastaro,60.968957428,22.589875278,Lounaiset välimurteet,Ala-Satakunta,mies,1883,1967
xSKN26a.txxtx,26,a,Moloskovitsa,59.54418789679223,29.274878309843384,Kaakkoismurteet,Inkeri,nainen,1908,1965
