SpeakerID,Location_name,Longitude,Latitude,Dialect area,Dialect group,County
aal_01um,Ål,8.562641,60.630502,East,Fjellbygd,Buskerud
aal_02uk,Ål,8.562641,60.630502,East,Fjellbygd,Buskerud
aal_03gm,Ål,8.562641,60.630502,East,Fjellbygd,Buskerud
aal_04gk,Ål,8.562641,60.630502,East,Fjellbygd,Buskerud
aaseral_01um,Åseral,7.509155,58.736856,West,Sorvestlandsk,Vest-Agder
aaseral_02uk,Åseral,7.509155,58.736856,West,Sorvestlandsk,Vest-Agder
aaseral_03gm,Åseral,7.509155,58.736856,West,Sorvestlandsk,Vest-Agder
aaseral_04gk,Åseral,7.509155,58.736856,West,Sorvestlandsk,Vest-Agder
alvdal_01um,Alvdal,10.623779,62.098742,East,Flatbygdmål,Hedmark
alvdal_02uk,Alvdal,10.623779,62.098742,East,Flatbygdmål,Hedmark
alvdal_03gm,Alvdal,10.623779,62.098742,East,Flatbygdmål,Hedmark
alvdal_04gk,Alvdal,10.623779,62.098742,East,Flatbygdmål,Hedmark
aremark_01um,Aremark,11.662674,59.301304,East,Flatbygdmål,Austfold
aremark_02uk,Aremark,11.662674,59.301304,East,Flatbygdmål,Austfold
aremark_03gm,Aremark,11.662674,59.301304,East,Flatbygdmål,Austfold
aremark_04gk,Aremark,11.662674,59.301304,East,Flatbygdmål,Austfold
aure_01um,Aure,8.577576,63.249703,Trondersk,Nordmorsk,More og Romsdal
aure_02uk,Aure,8.577576,63.249703,Trondersk,Nordmorsk,More og Romsdal
aure_03gm,Aure,8.577576,63.249703,Trondersk,Nordmorsk,More og Romsdal
aure_04gk,Aure,8.577576,63.249703,Trondersk,Nordmorsk,More og Romsdal
ballangen_01um,Ballangen,16.834831,68.341219,North,Norlig-Norlandsmål,Nordland
ballangen_02uk,Ballangen,16.834831,68.341219,North,Norlig-Norlandsmål,Nordland
ballangen_03gm,Ballangen,16.834831,68.341219,North,Norlig-Norlandsmål,Nordland
ballangen_04gk,Ballangen,16.834831,68.341219,North,Norlig-Norlandsmål,Nordland
beiarn_01um,Beiarn,14.584351,67.006355,North,Norlig-Norlandsmål,Nordland
