SpeakerID,Location_name,Longitude,Latitude
hattfjelldal_04gk,Hattfjelldal,13.998899,65.59629
hattfjelldal_03gm,Hattfjelldal,13.998899,65.59629
heroeyMR_01um,HerøyMR,5.553589,62.345785
heroeyMR_02uk,HerøyMR,5.553589,62.345785
heroeyMR_04gk,HerøyMR,5.553589,62.345785
heroeyMR_03gm,HerøyMR,5.553589,62.345785
heroeyN_02uk,HerøyN,12.288208,65.977798
heroeyN_01um,HerøyN,12.288208,65.977798
heroeyN_03gm,HerøyN,12.288208,65.977798
heroeyN_04gk,HerøyN,12.288208,65.977798
hjartdal_01um,Hjartdal,8.651733,59.598316
hjartdal_02uk,Hjartdal,8.651733,59.598316
hjartdal_03gm,Hjartdal,8.651733,59.598316
hjartdal_04gk,Hjartdal,8.651733,59.598316
hjelmeland_02uk,Hjelmeland,6.165648,59.150674
hjelmeland_01um,Hjelmeland,6.165648,59.150674
hjelmeland_04gk,Hjelmeland,6.165648,59.150674
hjelmeland_03gm,Hjelmeland,6.165648,59.150674
hof_01um,Hof,10.090942,59.528747
hof_02uk,Hof,10.090942,59.528747
hof_03gm,Hof,10.090942,59.528747
hof_04gk,Hof,10.090942,59.528747
hyllestad_01um,Hyllestad,5.300903,61.172384
hyllestad_02uk,Hyllestad,5.300903,61.172384
hyllestad_03gm,Hyllestad,5.300903,61.172384
hyllestad_04gk,Hyllestad,5.300903,61.172384
inderoey_02uk,Inderøy,11.302185,63.875762
inderoey_01um,Inderøy,11.302185,63.875762
inderoey_03gm,Inderøy,11.302185,63.875762
inderoey_04gk,Inderøy,11.302185,63.875762
jevnaker_01um,Jevnaker,10.371094,60.223447
jevnaker_02uk,Jevnaker,10.371094,60.223447
jevnaker_04gk,Jevnaker,10.371094,60.223447
jevnaker_03gm,Jevnaker,10.371094,60.223447
joelster_04gk,Jølster,6.16333,61.506976
joelster_01um,Jølster,6.16333,61.506976
joelster_03gm,Jølster,6.16333,61.506976
joelster_02uk,Jølster,6.16333,61.506976
kaafjord_02uk,Kåfjord,20.505981,69.51338
kaafjord_01um,Kåfjord,20.505981,69.51338
kaafjord_04gk,Kåfjord,20.505981,69.51338
kaafjord_03gm,Kåfjord,20.505981,69.51338
kaafjord_07gm,Kåfjord,20.505981,69.51338
kalvaag_02uk,Kalvåg (Bremanger),4.873123,61.765977
kalvaag_01um,Kalvåg (Bremanger),4.873123,61.765977
kalvaag_03gm,Kalvåg (Bremanger),4.873123,61.765977
kalvaag_04gk,Kalvåg (Bremanger),4.873123,61.765977
karlsoey_01um,Karlsøy,19.901733,70.056218
karlsoey_02uk,Karlsøy,19.901733,70.056218
karlsoey_03gm,Karlsøy,19.901733,70.056218
karmoey_02uk,Karmøy,5.275712,59.35354
karmoey_01um,Karmøy,5.275712,59.35354
karmoey_04gk,Karmøy,5.275712,59.35354
karmoey_03gm,Karmøy,5.275712,59.35354
kautokeino_03gm,Kautokeino,23.04451,69.010841
kautokeino_01um,Kautokeino,23.04451,69.010841
kautokeino_02uk,Kautokeino,23.04451,69.010841
kautokeino_04gk,Kautokeino,23.04451,69.010841
kirkenaer_01um,Kirkenær,11.99707,60.500525
kirkenaer_05um,Kirkenær,11.99707,60.500525
kirkenaer_04gk,Kirkenær,11.99707,60.500525
kirkenaer_08gk,Kirkenær,11.99707,60.500525
kirkenes_01um,Kirkenes,30.080566,69.691432
kirkenes_02uk,Kirkenes,30.080566,69.691432
kirkenes_04gk,Kirkenes,30.080566,69.691432
kirkenes_03gm,Kirkenes,30.080566,69.691432
kirkesdalen_02uk,Kirkesdalen (Målselv),19.000854,68.905074
kirkesdalen_01um,Kirkesdalen (Målselv),19.000854,68.905074
kirkesdalen_03gm,Kirkesdalen (Målselv),19.000854,68.905074
kirkesdalen_04gk,Kirkesdalen (Målselv),19.000854,68.905074
kjoellefjord_01um,Kjøllefjord,27.338104,70.94401
kjoellefjord_02uk,Kjøllefjord,27.338104,70.94401
kjoellefjord_04gk,Kjøllefjord,27.338104,70.94401
kjoellefjord_03gm,Kjøllefjord,27.338104,70.94401
kristiansand_01um,Kristiansand,7.998047,58.12432
kristiansand_02uk,Kristiansand,7.998047,58.12432
kristiansand_04gk,Kristiansand,7.998047,58.12432
kristiansand_03gm,Kristiansand,7.998047,58.12432
kvaefjord_02uk,Kvæfjord,16.177368,68.764256
kvaefjord_01um,Kvæfjord,16.177368,68.764256
kvaefjord_03gm,Kvæfjord,16.177368,68.764256
kvaefjord_04gk,Kvæfjord,16.177368,68.764256
kvaenangen_01um,Kvænangen,21.906738,69.960439
kvaenangen_02uk,Kvænangen,21.906738,69.960439
kvaenangen_04gk,Kvænangen,21.906738,69.960439
kvaenangen_03gm,Kvænangen,21.906738,69.960439
kvam_03gm,Kvam,9.673462,61.658595
kvam_04gk,Kvam,9.673462,61.658595
kvinnherad_02uk,Kvinnherad,5.999565,59.936268
kvinnherad_01um,Kvinnherad,5.999565,59.936268
kvinnherad_03gm,Kvinnherad,5.999565,59.936268
kvinnherad_04gk,Kvinnherad,5.999565,59.936268
lakselv_01um,Lakselv,24.97879,70.051533
lakselv_02uk,Lakselv,24.97879,70.051533
lakselv_04gk,Lakselv,24.97879,70.051533
lakselv_03gm,Lakselv,24.97879,70.051533
landvik_02uk,Landvik,8.524232,58.343684
landvik_01um,Landvik,8.524232,58.343684
landvik_03gm,Landvik,8.524232,58.343684
landvik_04gk,Landvik,8.524232,58.343684
langesund_02uk,Langesund,9.75174,59.00097
langesund_01um,Langesund,9.75174,59.00097
langesund_03gm,Langesund,9.75174,59.00097
langesund_04gk,Langesund,9.75174,59.00097
lardal_01um,Lardal,9.899368,59.399666
lardal_02uk,Lardal,9.899368,59.399666
lardal_04gk,Lardal,9.899368,59.399666
lardal_03gm,Lardal,9.899368,59.399666
lavangen_02uk,Lavangen,17.786865,68.742359
lavangen_01um,Lavangen,17.786865,68.742359
lavangen_03gm,Lavangen,17.786865,68.742359
lavangen_04gk,Lavangen,17.786865,68.742359
lierne_01um,Lierne,13.721924,64.363685
lierne_02uk,Lierne,13.721924,64.363685
lierne_03gm,Lierne,13.721924,64.363685
lierne_04gk,Lierne,13.721924,64.363685
lindaas_01um,Lindås,5.171814,60.662415
lindaas_02uk,Lindås,5.171814,60.662415
lindaas_04gk,Lindås,5.171814,60.662415
lindaas_03gm,Lindås,5.171814,60.662415
lom_01um,Lom,8.569336,61.835413
lom_02uk,Lom,8.569336,61.835413
lom_04gk,Lom,8.569336,61.835413
lom_03gm,Lom,8.569336,61.835413
lommedalen_01um,Lommedalen,10.48645,59.959823
lommedalen_02uk,Lommedalen,10.48645,59.959823
lommedalen_04gk,Lommedalen,10.48645,59.959823
lommedalen_03gm,Lommedalen,10.48645,59.959823
luster_06uk,Luster,7.454224,61.438767
luster_01um,Luster,7.454224,61.438767
luster_02uk,Luster,7.454224,61.438767
luster_03gm,Luster,7.454224,61.438767
luster_04gk,Luster,7.454224,61.438767
lyngdal_01um,Lyngdal,7.051849,58.136646
lyngdal_02uk,Lyngdal,7.051849,58.136646
lyngdal_03gm,Lyngdal,7.051849,58.136646
lyngdal_04gk,Lyngdal,7.051849,58.136646
medby_75,Medby,17.060394,69.281185
medby_74,Medby,17.060394,69.281185
mefjordvaer_19,Mefjordvær,17.438736,69.521549
mefjordvaer_20,Mefjordvær,17.438736,69.521549
meraaker_02uk,Meråker,11.763611,63.423488
meraaker_01um,Meråker,11.763611,63.423488
meraaker_04gk,Meråker,11.763611,63.423488
meraaker_03gm,Meråker,11.763611,63.423488
mo_i_rana_02uk,Mo i Rana,14.147644,66.315449
mo_i_rana_01um,Mo i Rana,14.147644,66.315449
mo_i_rana_03gm,Mo i Rana,14.147644,66.315449
mo_i_rana_04gk,Mo i Rana,14.147644,66.315449
myre_02uk,Myre (Øksnes),15.095215,68.905074
myre_01um,Myre (Øksnes),15.095215,68.905074
myre_04gk,Myre (Øksnes),15.095215,68.905074
myre_03gm,Myre (Øksnes),15.095215,68.905074
namdalen_01um,Namdalen,11.782837,64.460955
namdalen_02uk,Namdalen,11.782837,64.460955
namdalen_03gm,Namdalen,11.782837,64.460955
namdalen_04gk,Namdalen,11.782837,64.460955
narvik_01um,Narvik,17.435303,68.435551
narvik_02uk,Narvik,17.435303,68.435551
narvik_03gm,Narvik,17.435303,68.435551
narvik_04gk,Narvik,17.435303,68.435551
nes_02uk,Nes,11.480713,60.144239
nes_01um,Nes,11.480713,60.144239
nes_03gm,Nes,11.480713,60.144239
nes_04gk,Nes,11.480713,60.144239
nissedal_01um,Nissedal,8.525391,59.012284
nissedal_02uk,Nissedal,8.525391,59.012284
nissedal_04gk,Nissedal,8.525391,59.012284
nissedal_03gm,Nissedal,8.525391,59.012284
oppdal_01um,Oppdal,9.692688,62.602189
oppdal_02uk,Oppdal,9.692688,62.602189
oppdal_02,Oppdal,9.692688,62.602189
oppdal_31,Oppdal,9.692688,62.602189
oppdal_03gm,Oppdal,9.692688,62.602189
oppdal_04gk,Oppdal,9.692688,62.602189
oppdal_10,Oppdal,9.692688,62.602189
oppdal_24,Oppdal,9.692688,62.602189
rauma_02uk,Rauma (Åndalsnes),7.684937,62.550325
rauma_01um,Rauma (Åndalsnes),7.684937,62.550325
rauma_03gm,Rauma (Åndalsnes),7.684937,62.550325
rauma_04gk,Rauma (Åndalsnes),7.684937,62.550325
rena_02uk,Rena,11.37085,61.122019
rena_01um,Rena,11.37085,61.122019
rena_03gm,Rena,11.37085,61.122019
rena_04gk,Rena,11.37085,61.122019
roemskog_01um,Rømskog,11.815796,59.742558
roemskog_02uk,Rømskog,11.815796,59.742558
roemskog_03gm,Rømskog,11.815796,59.742558
roemskog_04gk,Rømskog,11.815796,59.742558
roeros_02uk,Røros,11.392822,62.573106
roeros_01um,Røros,11.392822,62.573106
roeros_03gm,Røros,11.392822,62.573106
roeros_04gk,Røros,11.392822,62.573106
rollag_02uk,Rollag,9.29924,59.983189
rollag_01um,Rollag,9.29924,59.983189
rollag_04gk,Rollag,9.29924,59.983189
rollag_03gm,Rollag,9.29924,59.983189
selbu_02uk,Selbu,11.0495,63.221255
selbu_01um,Selbu,11.0495,63.221255
selbu_04gk,Selbu,11.0495,63.221255
selbu_03gm,Selbu,11.0495,63.221255
sirdal_02uk,Sirdal,6.921387,58.998141
sirdal_01um,Sirdal,6.921387,58.998141
sirdal_03gm,Sirdal,6.921387,58.998141
sirdal_04gk,Sirdal,6.921387,58.998141
skaugdalen_36,Skaugdalen,10.28595,63.691335
skaugdalen_43,Skaugdalen,10.28595,63.691335
skaugdalen_37,Skaugdalen,10.28595,63.691335
skaugdalen_39,Skaugdalen,10.28595,63.691335
skreia_01um,Skreia,10.93689,60.651647
skreia_02uk,Skreia,10.93689,60.651647
skreia_04gk,Skreia,10.93689,60.651647
skreia_03gm,Skreia,10.93689,60.651647
soemna_01um,Sømna,11.99295,65.308244
soemna_02uk,Sømna,11.99295,65.308244
soemna_03gm,Sømna,11.99295,65.308244
soemna_04gk,Sømna,11.99295,65.308244
sokndal_01um,Sokndal,6.2883,58.340497
sokndal_02uk,Sokndal,6.2883,58.340497
sokndal_04gk,Sokndal,6.2883,58.340497
sokndal_03gm,Sokndal,6.2883,58.340497
stamsund_01um,Stamsund,13.847065,68.131692
stamsund_02uk,Stamsund,13.847065,68.131692
stamsund_04gk,Stamsund,13.847065,68.131692
stamsund_03gm,Stamsund,13.847065,68.131692
stange_02uk,Stange,11.184082,60.716198
stange_03gm,Stange,11.184082,60.716198
stange_06uk,Stange,11.184082,60.716198
stange_07gm,Stange,11.184082,60.716198
stavanger_01um,Stavanger,5.731773,58.96311
stavanger_02uk,Stavanger,5.731773,58.96311
stavanger_03gm,Stavanger,5.731773,58.96311
stavanger_04gk,Stavanger,5.731773,58.96311
steigen_02uk,"Nordfold, Steigen",14.974709,67.938233
steigen_01um,"Nordfold, Steigen",14.974709,67.938233
steigen_03gm,"Nordfold, Steigen",14.974709,67.938233
steigen_04gk,"Nordfold, Steigen",14.974709,67.938233
stokkoeya_29,Stokkøya,10.022278,64.046969
stokkoeya_24,Stokkøya,10.022278,64.046969
stokkoeya_33,Stokkøya,10.022278,64.046969
stokkoeya_31,Stokkøya,10.022278,64.046969
stonglandseidet_50,Stonglandseidet,17.171631,69.080335
stonglandseidet_47,Stonglandseidet,17.171631,69.080335
stranda_01um,Stranda,6.9104,62.290919
stranda_02uk,Stranda,6.9104,62.290919
stranda_04gk,Stranda,6.9104,62.290919
stranda_03gm,Stranda,6.9104,62.290919
stryn_01um,Stryn,6.726379,61.910513
stryn_02uk,Stryn,6.726379,61.910513
stryn_03gm,Stryn,6.726379,61.910513
stryn_04gk,Stryn,6.726379,61.910513
suldal_02uk,Suldal,6.252337,59.4843
suldal_01um,Suldal,6.252337,59.4843
suldal_04gk,Suldal,6.252337,59.4843
suldal_03gm,Suldal,6.252337,59.4843
surnadal_19,Surnadal,8.723145,62.967709
surnadal_18,Surnadal,8.723145,62.967709
surnadal_28,Surnadal,8.723145,62.967709
surnadal_29,Surnadal,8.723145,62.967709
sylling_02uk,Sylling,10.285006,59.893781
sylling_01um,Sylling,10.285006,59.893781
sylling_04gk,Sylling,10.285006,59.893781
sylling_03gm,Sylling,10.285006,59.893781
tana_02uk,Tana,28.146973,70.19255
tana_01um,Tana,28.146973,70.19255
tana_04gk,Tana,28.146973,70.19255
tana_03gm,Tana,28.146973,70.19255
time_02uk,Time,5.646629,58.73347
time_01um,Time,5.646629,58.73347
time_03gm,Time,5.646629,58.73347
time_04gk,Time,5.646629,58.73347
tinn_05um,Tinn,8.613281,59.883425
tinn_01um,Tinn,8.613281,59.883425
tinn_03gm,Tinn,8.613281,59.883425
tinn_04gk,Tinn,8.613281,59.883425
todalen_01um,Todalen,8.701172,62.825056
todalen_02uk,Todalen,8.701172,62.825056
todalen_04gk,Todalen,8.701172,62.825056
todalen_03gm,Todalen,8.701172,62.825056
tromsoe_02uk,Tromsø,18.945923,69.660905
tromsoe_01um,Tromsø,18.945923,69.660905
tromsoe_03gm,Tromsø,18.945923,69.660905
tromsoe_04gk,Tromsø,18.945923,69.660905
trondheim_01um_,Trondheim,10.437012,63.425946
trondheim_02uk,Trondheim,10.437012,63.425946
trondheim_01um,Trondheim,10.437012,63.425946
trondheim_04gk,Trondheim,10.437012,63.425946
trondheim_03gm,Trondheim,10.437012,63.425946
trysil_02uk,Trysil,12.293701,61.275513
trysil_01um,Trysil,12.293701,61.275513
trysil_03gm,Trysil,12.293701,61.275513
trysil_04gk,Trysil,12.293701,61.275513
valle_02uk,Valle,7.536621,59.195626
valle_01um,Valle,7.536621,59.195626
valle_03gm,Valle,7.536621,59.195626
valle_04gk,Valle,7.536621,59.195626
vang_02uk,Vang,8.55835,61.116713
vang_01um,Vang,8.55835,61.116713
vang_04gk,Vang,8.55835,61.116713
vang_03gm,Vang,8.55835,61.116713
vardoe_01um,Vardø,31.116028,70.372319
vardoe_02uk,Vardø,31.116028,70.372319
vardoe_04gk,Vardø,31.116028,70.372319
vardoe_03gm,Vardø,31.116028,70.372319
vegaarshei_02uk,Vegårshei,8.860474,58.748257
vegaarshei_01um,Vegårshei,8.860474,58.748257
vegaarshei_03gm,Vegårshei,8.860474,58.748257
vegaarshei_04gk,Vegårshei,8.860474,58.748257
vennesla_02uk,Vennesla,7.970581,58.260397
vennesla_01um,Vennesla,7.970581,58.260397
vennesla_03gm,Vennesla,7.970581,58.260397
vennesla_04gk,Vennesla,7.970581,58.260397
vestre_slidre_03gm,Vestre Slidre,8.931885,61.063601
vestre_slidre_04gk,Vestre Slidre,8.931885,61.063601
vinje_01um,Vinje,7.833252,59.623325
vinje_05um,Vinje,7.833252,59.623325
vinje_04gk,Vinje,7.833252,59.623325
vinje_08gk,Vinje,7.833252,59.623325
volda_01um,Volda,6.069946,62.144976
volda_02uk,Volda,6.069946,62.144976
volda_03gm,Volda,6.069946,62.144976
volda_04gk,Volda,6.069946,62.144976
voss_01um,Voss,6.399536,60.632796
voss_02uk,Voss,6.399536,60.632796
voss_03gm,Voss,6.399536,60.632796
voss_04gk,Voss,6.399536,60.632796
